complaint_text,category,priority,department
The situation is worsening because of air pollution.,Pollution,Medium,Pollution Department
The locality has been affected by cattle on roads for several days.,Animal Issues,Medium,Animal Issues Department
Urgent attention is required due to building crack.,Housing,Medium,Housing Department
The situation is worsening because of fire safety violation.,Fire Hazard,High,Fire Hazard Department
Please take immediate action regarding theft incident.,Crime,High,Crime Department
There is a serious problem involving park maintenance issue.,Parks,Low,Parks Department
Authorities have not resolved the favoritism complaint yet.,Corruption,Medium,Corruption Department
There is a serious problem involving unauthorized construction.,Illegal Construction,Medium,Illegal Construction Department
The situation is worsening because of flooded street.,Flooding,High,Flooding Department
Urgent attention is required due to nighttime noise.,Noise Pollution,Medium,Noise Pollution Department
There is a serious problem involving water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
Multiple complaints have been raised about service request pending.,Government Services,Medium,Government Services Department
Multiple complaints have been raised about industrial noise.,Noise Pollution,Medium,Noise Pollution Department
People are suffering because of loudspeaker disturbance.,Noise Pollution,Medium,Noise Pollution Department
Please take immediate action regarding bus delay.,Transport,Medium,Transport Department
Please take immediate action regarding fire safety violation.,Fire Hazard,High,Fire Hazard Department
Authorities have not resolved the broken school furniture yet.,Education,Medium,Education Department
Authorities have not resolved the parking shortage yet.,Parking,Low,Parking Department
Please take immediate action regarding faulty street lighting.,Streetlight,Medium,Streetlight Department
The situation is worsening because of overgrown vegetation.,Parks,Low,Parks Department
Residents are facing road encroachment in the area.,Encroachment,Medium,Encroachment Department
There is a serious problem involving tree cutting.,Environment,Medium,Environment Department
Authorities have not resolved the kidnapping complaint yet.,Crime,High,Crime Department
Please take immediate action regarding sewer blockage.,Sewage,High,Sewage Department
Please take immediate action regarding loss of green cover.,Environment,Medium,Environment Department
There is a serious problem involving road blockage.,Transport,Medium,Transport Department
There is a serious problem involving damaged streetlight pole.,Streetlight,Medium,Streetlight Department
Authorities have not resolved the toilet maintenance issue yet.,Public Toilets,Medium,Public Toilets Department
Multiple complaints have been raised about chemical discharge.,Pollution,Medium,Pollution Department
Authorities have not resolved the clogged storm drain yet.,Drainage,Medium,Drainage Department
The situation is worsening because of assault report.,Crime,High,Crime Department
Please take immediate action regarding housing maintenance issue.,Housing,Medium,Housing Department
The situation is worsening because of online service failure.,Digital Services,Low,Digital Services Department
Multiple complaints have been raised about sewage smell.,Sewage,High,Sewage Department
Residents are facing public grievance unresolved in the area.,Government Services,Medium,Government Services Department
The locality has been affected by unsafe pedestrian crossing for several days.,Public Safety,Medium,Public Safety Department
Please take immediate action regarding bribery complaint.,Corruption,Medium,Corruption Department
Residents are facing poor mobile signal in the area.,Telecom,Medium,Telecom Department
Authorities have not resolved the fire safety violation yet.,Fire Hazard,High,Fire Hazard Department
Citizens have repeatedly reported flammable waste.,Fire Hazard,High,Fire Hazard Department
Please take immediate action regarding vehicle obstruction.,Parking,Low,Parking Department
Citizens have repeatedly reported lack of police patrol.,Public Safety,Medium,Public Safety Department
Citizens have repeatedly reported tree cutting.,Environment,Medium,Environment Department
Multiple complaints have been raised about illegal dumping.,Waste,Medium,Waste Department
People are suffering because of sewage smell.,Sewage,High,Sewage Department
Residents are facing broken school furniture in the area.,Education,Medium,Education Department
Urgent attention is required due to network outage.,Telecom,Medium,Telecom Department
Residents are facing favoritism complaint in the area.,Corruption,Medium,Corruption Department
The locality has been affected by ambulance delay for several days.,Healthcare,High,Healthcare Department
Urgent attention is required due to traffic noise.,Noise Pollution,Medium,Noise Pollution Department
People are suffering because of faulty street lighting.,Streetlight,Medium,Streetlight Department
People are suffering because of building crack.,Housing,Medium,Housing Department
Citizens have repeatedly reported illegal payment demand.,Corruption,Medium,Corruption Department
